2023-03-16 20:54:59,819 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f164024b-39c5-5109-b207-5ec7d05a4f18', 'Date': 'Thu, 16 Mar 2023 09:54:59 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:55:19,847 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '88bf152e-7c77-5654-8d6e-49a295c41135', 'Date': 'Thu, 16 Mar 2023 09:55:19 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:55:39,878 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ef27e5f8-389c-503a-b73c-b974d15ba951', 'Date': 'Thu, 16 Mar 2023 09:55:39 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:55:59,904 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '47c3822e-07e9-5b57-b729-dea2ee322265', 'Date': 'Thu, 16 Mar 2023 09:55:59 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:56:19,932 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'a22628d7-7192-53b9-8e6d-745b987d94a8', 'Date': 'Thu, 16 Mar 2023 09:56:19 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:56:39,962 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd7537328-d882-557b-943f-2fa43281404b', 'Date': 'Thu, 16 Mar 2023 09:56:39 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:56:59,988 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '8f854d58-58df-537c-957b-11d4b2c8720c', 'Date': 'Thu, 16 Mar 2023 09:56:59 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:57:20,017 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'a295806a-69aa-5b74-bf2a-dce68386ea81', 'Date': 'Thu, 16 Mar 2023 09:57:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:57:40,045 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '5a2bfaa6-f849-5eab-ad67-a62a1209ca27', 'Date': 'Thu, 16 Mar 2023 09:57:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:58:00,071 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '59491560-b644-5b57-a42e-49ec5c10e872', 'Date': 'Thu, 16 Mar 2023 09:58:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:58:20,102 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '9597878b-730d-535e-890f-db079965edcc', 'Date': 'Thu, 16 Mar 2023 09:58:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:58:40,129 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '5cbef679-dff3-5838-a74e-aaf5358ff0f0', 'Date': 'Thu, 16 Mar 2023 09:58:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:59:00,155 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'c1598c57-e8cd-582c-9080-d0db025d8928', 'Date': 'Thu, 16 Mar 2023 09:59:00 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:59:20,183 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'b4e55de6-b846-5c12-9208-016a52e2081c', 'Date': 'Thu, 16 Mar 2023 09:59:20 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:59:40,213 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '2c38b299-8fcb-5135-8926-ee156573db02', 'Date': 'Thu, 16 Mar 2023 09:59:40 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
